SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
HAPPIEST MINDS TECHNO LTD,      1004.10,      1136.65,19353834,              21059549350.25
INFO EDGE (I) LTD,      4915.75,      5317.15,3526542,              18428419131.50
HDFC BANK LTD,      1497.90,      1486.75,8455721,              12610824917.85
RELIANCE INDUSTRIES LTD,      2110.65,      2097.95,5784627,              12201907893.30
TATA MOTORS LIMITED,       339.60,       344.25,27944816,               9626455276.75
INFOSYS LIMITED,      1580.80,      1560.40,4814317,               7537112360.90
STATE BANK OF INDIA,       419.20,       420.40,16161469,               6803546370.85
BAJAJ FINANCE LIMITED,      6015.85,      5967.15,1120601,               6705695095.25
ICICI BANK LTD.,       630.90,       630.85,10517081,               6663442948.60
TATA STEEL LIMITED,      1166.60,      1163.55,5614928,               6549650935.90
DEEPAK NITRITE LTD,      1808.55,      1882.35,3511656,               6523233761.35
VODAFONE IDEA LIMITED,         9.95,         9.05,643708116,               5853173530.25
ADANI PORT & SEZ LTD,       703.70,       703.10,8035542,               5659840823.25
ADANI ENTERPRISES LIMITED,      1507.55,      1490.25,3759914,               5639649784.65
STEEL AUTHORITY OF INDIA,       130.60,       126.95,42713468,               5510281795.05
HDFC LTD,      2475.25,      2459.40,2189447,               5401021707.75
BHARAT ELECTRONICS LTD,       178.00,       184.65,29278526,               5355551333.45
KOTAK MAHINDRA BANK LTD,      1705.85,      1716.10,2988386,               5132465539.05
DR. REDDY'S LABORATORIES,      5423.05,      5558.50,831550,               4574612831.90
MAHINDRA & MAHINDRA LTD,       777.70,       779.45,5697553,               4471219887.25
MARUTI SUZUKI INDIA LTD.,      7515.90,      7584.40,584331,               4419858255.50
AXIS BANK LIMITED,       748.30,       746.45,5695690,               4264555186.85
JK PAPER LIMITED,       211.90,       214.85,19266398,               4262459455.75
INDIA GLYCOLS LTD,       642.60,       747.90,5664962,               4074030909.10
BAJAJ FINSERV LTD.,     12109.05,     11816.45,321521,               3839398724.55

